Timestamp,Have you ever posted a preprint?,Which most closely describes your current position?,Where do you primarily work?,On what preprint server did you post your most recent preprint?*,How long ago did you post your last preprint?,What discipline does this preprint fall under? Please check all that apply.,Did you choose the license for this preprint?,Why didn't you choose the license for this preprint?,What license was the preprint under?,What license did you choose for this preprint?,What factors were important to you in selecting this license for your preprint? [Preprint server default or recommended license],What factors were important to you in selecting this license for your preprint? [How other preprints have been licensed (on the server or in your field)],What factors were important to you in selecting this license for your preprint? [Journal policies or recommendations],What factors were important to you in selecting this license for your preprint? [Funder policies or recommendations],What factors were important to you in selecting this license for your preprint? [Library or university recommendations/resources],"What factors were important to you in selecting this license for your preprint? [Other recommendations/resources (not journal, funder, or university)]",What factors were important to you in selecting this license for your preprint? [Coauthor wishes],What factors were important to you in selecting this license for your preprint? [Potential reuse of the preprint],"If factors not listed above were important to you, please explain below.","If and when this preprint is published at your chosen journal, what do you expect the license will be?",What factors are important to you in selecting this license for your published paper? [Journal default or recommended license],What factors are important to you in selecting this license for your published paper? [How other papers have been licensed (in the journal or your field)],What factors are important to you in selecting this license for your published paper? [Additional fees for certain licenses],What factors are important to you in selecting this license for your published paper? [Funder policies or recommendations],What factors are important to you in selecting this license for your published paper? [Library or university recommendations/resources],"What factors are important to you in selecting this license for your published paper? [Other recommendations/resources (not journal, funder, or university)]",What factors are important to you in selecting this license for your published paper? [Coauthor wishes],What factors are important to you in selecting this license for your published paper? [Potential reuse of the paper],"If factors not listed above were important to you, please explain below.","If you expect the license of the final version will be different from the license you selected for the preprint, please explain the difference in your choices.","What would you like others to be able to do with your preprint, without having to ask for your permission? Assume, unless noted, that your work would be attributed to you and your co-authors.",Do you have any other comments regarding preprint licensing?
2/27/2018 13:45:40,Yes,Postdoc,Europe,bioRxiv,Within the last month,Biology,Yes,,,CC BY-NC,Somewhat important,Not at all important,Somewhat important,Very important,Very important,Not at all important,Not at all important,Don't know,,CC BY-NC,Somewhat important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Don't know,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/27/2018 13:57:14,Yes,Staff scientist,North America,arXiv,1-6 months ago,"Biology, Mathematics, Digital Pathology",Yes,,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,My institution may patent the software that comes out of my algorithms.,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to the website of a journal to which I did not submit it, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
2/27/2018 14:48:16,Yes,Postdoc,Europe,PeerJ Preprints,1-6 months ago,Biology,No,The preprint server offered only one,CC BY,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)","Some of the above options I have not checked; but I am prepared to live with those things happening anyway, because there is no good way to allow some of those uses while disallowing others. So CC-By is the way to go."
2/27/2018 15:12:49,Yes,Staff scientist,Europe,bioRxiv,Within the last month,Biology,Yes,,,CC BY-NC-ND,Don't know,Somewhat important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,Don't know,Somewhat important,Somewhat important,Very important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Translate the preprint into another language (e.g. Spanish)",
2/27/2018 15:22:36,Yes,Postdoc,North America,bioRxiv,1-6 months ago,Biology,Yes,,,All rights reserved or standard arXiv license,Very important,Don't know,Very important,Very important,Very important,Very important,Somewhat important,Very important,,Don't know,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world",
2/27/2018 15:45:09,Yes,Faculty member,North America,bioRxiv,1-6 months ago,"Biology, medicine",Yes,,,CC BY,Somewhat important,Not at all important,Not at all important,Somewhat important,Not at all important,Not at all important,Somewhat important,Very important,(Non)potential for commercial re-use of this article's content,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Not at all important,Somewhat important,Somewhat important,Not at all important,Not at all important,Somewhat important,Very important,not expected to have commercial re-use (like drug company distribution),,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)","My preference would be something like a CC BY-NC license, but where I hold the rights, not a journal. Specifically, if a drug company wants to hand out copies of my article, I'd rather have them pay me (rather than a journal). For papers where commercial uses are unlikely, I pick CC BY.
  Also, for the ""copy my paper to a website"" options, for purposes other than archiving / backup, I don't see why they can't just create a link. I'd rather direct traffic to a journal site to get my article as long as the access is free to the user.
  I'm ambivalent about translation. One the one hand, I don't have time or skill to translate it into every language. But I'd rather have no translation than a poor one (the book _Scientific Babel_ shows how this was a serious hindrance to Mendeleev's career)."
2/27/2018 17:00:26,Yes,Graduate Student,Oceania,bioRxiv,Within the last month,"Biology, Chemistry",No,Another author made this choice,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/27/2018 17:18:31,Yes,Faculty member,North America,bioRxiv,1-6 months ago,Biology,No,Another author made this choice,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others",I feel like I really need to learn more about it!
2/27/2018 17:45:16,Yes,Staff scientist,Europe,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY-NC,Not at all important,Somewhat important,Somewhat important,Somewhat important,Not at all important,Somewhat important,Don't know,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/27/2018 19:01:29,Yes,Postdoc,North America,arXiv,Over 12 months ago,Physics,No,I don't remember,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
2/27/2018 22:02:36,Yes,Staff scientist,North America,bioRxiv,1-6 months ago,Biology,No,Another author made this choice,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/28/2018 0:12:30,Yes,Faculty member,Asia,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY-NC-ND,Not at all important,Don't know,Don't know,Don't know,Don't know,Don't know,Very important,Very important,,CC BY-NC-ND,Not at all important,Don't know,Very important,Very important,Very important,Very important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Translate the preprint into another language (e.g. Spanish)",
2/28/2018 1:47:09,Yes,Postdoc,Africa,bioRxiv,Within the last month,"Biology, Medicine",Yes,,,CC BY,Somewhat important,Not at all important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Not at all important,Very important,Very important,Not at all important,Not at all important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish), All of the above, *without* attributing the work to me","More medical journals need to explicitly allow for posting of preprints so I can feel more comfortable doing it. Most don't mention them on their ""author information"" pages."
2/28/2018 3:23:12,Yes,Staff scientist,North America,arXiv,Within the last month,"Biology, Computer Science",Yes,,,All rights reserved or standard arXiv license,Very important,Not at all important,Very important,Very important,Not at all important,Don't know,Somewhat important,Very important,,"No creative commons license (default for Nature, Science, etc)",Very important,Not at all important,Very important,Very important,Not at all important,Don't know,Somewhat important,Very important,,default journal license is not open. Open access license fees prohibitively costly,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/28/2018 5:15:11,Yes,Postdoc,Europe,bioRxiv,1-6 months ago,Biology,No,Another author made this choice,CC BY-NC-ND,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/28/2018 7:14:47,Yes,Faculty member,Asia,bioRxiv,1-6 months ago,Biology,No,Another author made this choice,All rights reserved or standard arXiv license,,,,,,,,,,,,,,,,,,,,,,Download my paper and share it with others,
2/28/2018 7:53:01,Yes,Staff scientist,South America,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY-NC-ND,Not at all important,Somewhat important,Very important,Very important,Very important,Not at all important,Not at all important,Very important,,Don't know,Very important,Very important,Don't know,Very important,Very important,Not at all important,Not at all important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
2/28/2018 11:39:08,Yes,Staff scientist,North America,bioRxiv,Within the last month,Biology,Yes,,,CC BY-ND,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Translate the preprint into another language (e.g. Spanish)",
2/28/2018 15:17:36,Yes,Faculty member,North America,bioRxiv,6-12 months ago,Biology,Yes,,,CC BY,Not at all important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
2/28/2018 22:12:39,Yes,Faculty member,Asia,bioRxiv,Over 12 months ago,Biology,No,The preprint server offered only one,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it",
2/28/2018 23:10:41,Yes,Faculty member,North America,bioRxiv,Within the last month,Biology,Yes,,,CC BY,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,Because it's the right thing to do,"CC BY (default for PLOS, BMC, etc)",Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,It's the right thing to do.,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
3/1/2018 0:11:41,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2018 3:27:21,Yes,Postdoc,Europe,bioRxiv,Over 12 months ago,Biology,No,Another author made this choice,CC BY-NC-ND,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world",
3/1/2018 17:43:47,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2018 17:49:51,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2018 17:50:44,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 5:54:38,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/2/2018 7:13:55,Yes,Editor,North America,bioRxiv,6-12 months ago,scientific communication,Yes,,,CC BY,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish), Use in policy-oriented work (reports, guidance, etc)",
3/2/2018 7:19:03,Yes,Graduate Student,Europe,PeerJ Preprints,Within the last month,"Computer Science, Social Sciences",Yes,,,CC0,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,I always license my work CC 0,CC0,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,CC0 is my only choice.,"Publisher limitations. I have had to wait three months once because their ""system can't currently handle CC0""","All of the above, *without* attributing the work to me",Professional attribution standards still apply.
3/2/2018 7:35:08,Yes,Faculty member,Europe,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY-NC,Somewhat important,Somewhat important,Not at all important,Very important,Somewhat important,Very important,Somewhat important,Very important,To avoid commercial (mis)use,CC BY-NC,Somewhat important,Somewhat important,Very important,Very important,Not at all important,Not at all important,Somewhat important,Somewhat important,,,"Download my paper for reading, Download my paper and share it with others, Text and data mine my paper, regardless of where they live in the world",
3/2/2018 7:39:34,Yes,Postdoc,Africa,preprints.org,Within the last month,Social Sciences,No,The preprint server offered only one,CC BY,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
3/2/2018 9:36:42,Yes,Publisher,North America,bioRxiv,Over 12 months ago,Scientific communication and education ,Yes,,,CC BY,Not at all important,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,Very important,,"CC BY (default for PLOS, BMC, etc)",Very important,Somewhat important,Not at all important,Somewhat important,Not at all important,Not at all important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",Some of the list above are things that I don’t actively ‘want’ (eg selling it in a collection) but I’m not that bothered if people choose to and would rather have unrestricted reuse rather than putting restrictions on it that are unlikely to ever be challenged by anyone anyway.
3/3/2018 14:01:02,Yes,Postdoc,North America,EarthArXiv,Within the last month,Earth Sciences,Yes,,,CC-BY 4.0,Very important,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Very important,,"No creative commons license (default for Nature, Science, etc)",Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world",
3/3/2018 15:14:10,Yes,Non-instituional Scientist,North America,PeerJ Preprints,Within the last month,"Biology, Computational Biology",No,The preprint server offered only one,CC BY,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
3/5/2018 8:46:21,Yes,Faculty member,North America,PeerJ Preprints,Within the last month,Biology,No,The preprint server offered only one,CC BY,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
3/5/2018 13:33:57,Yes,"Faculty member, Editor",Europe,arXiv,Within the last month,Computer Science,Yes,,,All rights reserved or standard arXiv license,Somewhat important,Somewhat important,Very important,Very important,Very important,Not at all important,Somewhat important,Very important,,"No creative commons license (default for Nature, Science, etc)",Very important,Very important,Very important,Very important,Somewhat important,Not at all important,Very important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Translate the preprint into another language (e.g. Spanish)",
3/5/2018 15:37:00,Yes,Postdoc,North America,bioRxiv,Within the last month,Biology,No,Another author made this choice,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Translate the preprint into another language (e.g. Spanish)",
3/5/2018 15:58:52,Yes,Postdoc,North America,bioRxiv,Within the last month,Biology,No,Another author made this choice,"""The copyright holder for this preprint is the author/funder. All rights reserved. No reuse allowed without permission.""",,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Translate the preprint into another language (e.g. Spanish)",
3/5/2018 21:20:05,Yes,Faculty member,Asia,bioRxiv,1-6 months ago,Biology,Yes,,,CC BY-NC,Not at all important,Not at all important,Not at all important,Somewhat important,Don't know,Somewhat important,Somewhat important,Very important,,CC BY-NC,Not at all important,Not at all important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations)",
3/5/2018 22:36:41,Yes,Postdoc,North America,bioRxiv,1-6 months ago,Biology,No,Another author made this choice,Don't know,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Translate the preprint into another language (e.g. Spanish)",
3/5/2018 22:49:14,Yes,Postdoc,North America,PeerJ Preprints,Within the last month,"Biology, Agriculture",No,The preprint server offered only one,CC BY,,,,,,,,,,,,,,,,,,,,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Use the figures in a textbook that is sold for profit, Translate the preprint into another language (e.g. Spanish)",
3/6/2018 2:00:59,Yes,"Faculty member, Editor",North America,PeerJ Preprints,Within the last month,Biology,Yes,,,CC BY,Somewhat important,Not at all important,Not at all important,Not at all important,Not at all important,Not at all important,Very important,Very important,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,,,"Download my paper for reading, Download my paper and share it with others, Copy my paper to another non-commercial website, unchanged, Use a figure in their academic talks, regardless of where they live in the world, Text and data mine my paper, regardless of where they live in the world, Modify my paper and publish it elsewhere, with my contributions appropriately credited, Copy my paper to another non-commercial website with annotations (for example, see https://europepmc.org/Annotations), Copy my paper to the website of a journal to which I did not submit it, Sell my paper as part of a compilation of papers, Use the figures in a textbook that is sold for profit, Use the figures in an advertisement for a product, as long as it is clear that I do not endorse it, Translate the preprint into another language (e.g. Spanish)",
